nr_ano,cd_sh6,sg_uf,vl_fob_uf,vl_fob_total_produto,pct_participacao
2024,020130,TO,2.4133902E7,1.568664707E9,0.015384997120356582
2024,020130,RS,2.3793951E7,1.568664707E9,0.015168283504959355
2024,020130,MA,1.9180609E7,1.568664707E9,0.01222734782927707
2024,020130,BA,1.7715176E7,1.568664707E9,0.011293156479487238
2024,020130,ES,6237468.0,1.568664707E9,0.003976291410245899
2024,020130,AC,2202383.0,1.568664707E9,0.0014039858168365103
2024,020130,RJ,229883.0,1.568664707E9,1.4654693190595256E-4
2024,020130,SC,225955.0,1.568664707E9,1.440428913786992E-4
2024,020130,AM,34580.0,1.568664707E9,2.2044226433915683E-5
2024,020130,AL,28042.0,1.568664707E9,1.7876350423940533E-5
2024,020130,CE,26874.0,1.568664707E9,1.7131768108301043E-5
2024,020130,AP,18928.0,1.568664707E9,1.2066313416459111E-5
2024,020130,PE,13341.0,1.568664707E9,8.504685507659604E-6
2024,020210,PR,3827.0,10053.0,0.3806823833681488
2024,020210,PA,2846.0,10053.0,0.28309957226698496
2024,020210,AM,1441.0,10053.0,0.14334029642892668
2024,020210,RS,846.0,10053.0,0.08415398388540735
2024,020210,AP,703.0,10053.0,0.06992937431612455
2024,020210,MA,390.0,10053.0,0.03879438973440764
2024,020220,RO,1.2965607E7,3.9798013E7,0.3257852848080632
2024,020220,MT,6139996.0,3.9798013E7,0.15427895860026983
2024,020220,SP,4163330.0,3.9798013E7,0.10461150409695077
2024,020220,TO,3942764.0,3.9798013E7,0.09906936811141802
2024,020220,MG,2968709.0,3.9798013E7,0.07459440248939062
2024,020220,MS,2668397.0,3.9798013E7,0.0670484981247682
2024,020220,GO,2419645.0,3.9798013E7,0.060798135826529834
2024,020220,PA,1897247.0,3.9798013E7,0.04767190261483657
2024,020220,RS,1129948.0,3.9798013E7,0.02839207072976231
2024,020220,RR,773602.0,3.9798013E7,0.019438206626044372
2024,020220,MA,327037.0,3.9798013E7,0.008217420301862809
2024,020220,RJ,115884.0,3.9798013E7,0.0029118036621577064
2024,020220,PR,76087.0,3.9798013E7,0.0019118291156897708
2024,020220,SC,70053.0,3.9798013E7,0.0017602135061366004
2024,020220,ES,54982.0,3.9798013E7,0.0013815262586099463
2024,020220,PE,53111.0,3.9798013E7,0.0013345138612824716
2024,020220,BA,10716.0,3.9798013E7,2.6925967384351575E-4
2024,020220,AL,8538.0,3.9798013E7,2.1453332356065113E-4
2024,020220,AM,7689.0,3.9798013E7,1.932006002410221E-4
2024,020220,CE,2946.0,3.9798013E7,7.402379611263508E-5
2024,020220,AP,1725.0,3.9798013E7,4.334387246921096E-5
2024,020230,MT,2.290269606E9,1.0049077475E10,0.22790844350615377
2024,020230,SP,2.181562089E9,1.0049077475E10,0.2170907821565979
2024,020230,GO,1.470894354E9,1.0049077475E10,0.14637108308292748
2024,020230,MG,9.93030431E8,1.0049077475E10,0.09881806896906226
